seqDocumento,dataPublicacao,numeroRegistro,numProcessoSTJ,dataRecebimento,dataDistribuicao,ministro,recurso,descricaoMonocratica,assuntoPenal
145978806,2022-02-23 00:00:00-03:00,202200406994,1985318,2022-02-14 23:00:00-03:00,2022-02-15 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
146082236,2022-02-24 00:00:00-03:00,202200371266,1984564,2022-02-10 23:00:00-03:00,2022-02-17 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
145978085,2022-02-23 00:00:00-03:00,202200370584,1984559,2022-02-10 23:00:00-03:00,2022-02-21 00:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido,0
145990515,2022-02-23 00:00:00-03:00,202200342399,1984357,2022-02-08 23:00:00-03:00,2022-02-21 00:00:00-03:00,NANCY ANDRIGHI,,Conhecido o recurso e provido em parte,0
145959512,2022-02-25 00:00:00-03:00,202200332669,1984248,2022-02-08 23:00:00-03:00,2022-02-10 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido em parte,1
146238111,2022-02-25 00:00:00-03:00,202200345267,1984373,2022-02-09 23:00:00-03:00,2022-02-17 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido,1
146152110,2022-02-24 00:00:00-03:00,202200343829,1984364,2022-02-08 23:00:00-03:00,2022-02-15 23:00:00-03:00,SEBASTIÃO REIS JÚNIOR,,Conhecido o recurso e provido,1
145262753,2022-02-14 23:00:00-03:00,202200315330,1983680,2022-02-07 23:00:00-03:00,2022-02-09 23:00:00-03:00,MOURA RIBEIRO,,Conhecido o recurso e provido em parte,0
145592162,2022-02-16 23:00:00-03:00,202200315002,1983695,2022-02-07 23:00:00-03:00,2022-02-09 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido,1
145683544,2022-02-17 23:00:00-03:00,202200337165,1984217,2022-02-08 23:00:00-03:00,2022-02-10 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido,1
145939775,2022-02-22 00:00:00-03:00,202200337104,1984336,2022-02-08 23:00:00-03:00,2022-02-15 23:00:00-03:00,ROGERIO SCHIETTI CRUZ,,Conhecido o recurso e provido em parte,1
145857122,2022-02-25 00:00:00-03:00,202200336600,1984335,2022-02-08 23:00:00-03:00,2022-02-17 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145554170,2022-02-22 00:00:00-03:00,202200335194,1984204,2022-02-08 23:00:00-03:00,2022-02-10 23:00:00-03:00,LUIS FELIPE SALOMÃO,,Conhecido o recurso e provido em parte,0
145946304,2022-02-23 00:00:00-03:00,202200334402,1984199,2022-02-08 23:00:00-03:00,2022-02-10 23:00:00-03:00,REYNALDO SOARES DA FONSECA,,Conhecido o recurso e provido em parte,1
145998843,2022-02-25 00:00:00-03:00,202200298503,1983958,2022-02-06 23:00:00-03:00,2022-02-21 00:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145526989,2022-02-23 00:00:00-03:00,202200323949,1983723,2022-02-07 23:00:00-03:00,2022-02-09 23:00:00-03:00,ANTONIO CARLOS FERREIRA,,Conhecido em parte o recurso e provido,0
145686053,2022-02-25 00:00:00-03:00,202200319192,1984120,2022-02-07 23:00:00-03:00,2022-02-14 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145655201,2022-02-17 23:00:00-03:00,202200319078,1983694,2022-02-07 23:00:00-03:00,2022-02-08 23:00:00-03:00,JOEL ILAN PACIORNIK,,Conhecido o recurso e provido em parte,1
146178454,2022-02-25 00:00:00-03:00,202200318562,1984108,2022-02-07 23:00:00-03:00,2022-02-13 23:00:00-03:00,MARCO AURÉLIO BELLIZZE,,Conhecido o recurso e provido,0
145477881,2022-02-16 23:00:00-03:00,202200285830,1983538,2022-02-03 23:00:00-03:00,2022-02-08 23:00:00-03:00,JESUÍNO RISSATO (DESEMBARGADOR CONVOCADO DO TJDFT),,Conhecido o recurso e provido em parte,1
145660613,2022-02-17 23:00:00-03:00,202200307579,1984041,2022-02-06 23:00:00-03:00,2022-02-15 23:00:00-03:00,MOURA RIBEIRO,,Conhecido em parte o recurso e provido em parte,0
145990723,2022-02-24 00:00:00-03:00,202200293538,1983571,2022-02-03 23:00:00-03:00,2022-02-09 23:00:00-03:00,ANTONIO SALDANHA PALHEIRO,,Conhecido o recurso e provido,1
